session_id,title,workflow_type,status,current_step,total_steps,case_id,created_at,updated_at,extracted_data,config
SUB-1752400055185-9rg95fvh,Submission Processing - UW-2025-001,submission,pending_approval,2,6,UW-2025-001,2025-07-13T09:47:35.185Z,2025-07-13T11:45:23.551Z,"{""client_name"":""Lee Warner Jones"",""property_type"":""House - Detached"",""premium_target"":""£8,021""}","{""workflowType"":""submission"",""totalSteps"":6}"
SUB-1752401813113-pvijphhn,Submission Processing - UW-2025-001,submission,pending_approval,1,6,UW-2025-001,2025-07-13T10:16:53.113Z,2025-07-13T10:17:10.265Z,{},{}
SUB-1752402235734-2uomqj08,Submission Processing - UW-2025-001,submission,pending_approval,1,6,UW-2025-001,2025-07-13T10:23:55.734Z,2025-07-13T10:24:21.443Z,{},{}
SUB-1752407134053-nbd5vdoo,Submission Processing - UW-2025-001,submission,running,0,6,UW-2025-001,2025-07-13T11:45:34.053Z,2025-07-13T11:45:34.053Z,{},{}
SUB-1752407533989-4wlc6hii,Submission Processing - UW-2025-001,submission,pending_data_extraction,0,6,UW-2025-001,2025-07-13T11:52:13.989Z,2025-07-13T11:52:20.025Z,{},{}
SUB-1752407809927-dip1ckcc,Submission Processing - UW-2025-001,submission,pending_data_extraction,0,6,UW-2025-001,2025-07-13T11:56:49.927Z,2025-07-13T11:56:55.969Z,{},{}
SUB-1752411289158-0siw0h6k,Submission Processing - UW-2025-001,submission,pending_data_extraction,0,6,UW-2025-001,2025-07-13T12:54:49.158Z,2025-07-13T12:54:55.188Z,{},{}
SUB-1752411311758-0b8azl7l,Submission Processing - UW-2025-001,submission,pending_data_extraction,0,6,UW-2025-001,2025-07-13T12:55:11.758Z,2025-07-13T12:55:17.788Z,{},{}
SUB-1752412594775-imhjwrsu,Submission Processing - UW-2025-001,submission,pending_data_extraction,0,6,UW-2025-001,2025-07-13T13:16:34.775Z,2025-07-13T13:16:40.843Z,{},{}
SUB-1752412676141-uovo0035,Test Flow End-to-End - UW-2025-001,submission,pending_approval,1,6,UW-2025-001,2025-07-13T13:17:56.141Z,2025-07-13T13:18:22.583Z,{},{}
SUB-1752412784471-1epbd5co,Submission Processing - UW-2025-001,submission,pending_approval,1,6,UW-2025-001,2025-07-13T13:19:44.471Z,2025-07-13T13:20:05.505Z,{},{}
SUB-1752417409149-gov3b851,Submission Processing - UW-2025-001,submission,pending_approval,1,6,UW-2025-001,2025-07-13T14:36:49.149Z,2025-07-13T14:37:39.292Z,{},{}
SUB-1752418845471-o84w11hk,Submission Processing - UW-2025-001,submission,pending_approval,1,6,UW-2025-001,2025-07-13T15:00:45.471Z,2025-07-13T15:03:01.383Z,{},{}
SUB-1752420103918-tx3fryd5,Submission Processing - UW-2025-001,submission,pending_data_extraction,0,6,UW-2025-001,2025-07-13T15:21:43.918Z,2025-07-13T15:21:49.970Z,{},{}
SUB-1752420110832-1ushejaj,Submission Processing - UW-2025-001,submission,pending_approval,1,6,UW-2025-001,2025-07-13T15:21:50.832Z,2025-07-13T15:26:44.177Z,{},{}
SUB-1752420492970-cjzb1jny,Submission Processing - UW-2025-001,submission,pending_approval,1,6,UW-2025-001,2025-07-13T15:28:12.970Z,2025-07-13T15:28:55.757Z,{},{}
UND-1752421025685-nom6uszo,Test Timeline Events,underwriting,pending_approval,1,6,SLP-2025-001,2025-07-13T15:37:05.685Z,2025-07-13T15:43:49.218Z,{},{}
UND-1752421546254-87kqbp6g,Test Timeline Events,underwriting,pending_approval,1,6,SLP-2025-001,2025-07-13T15:45:46.254Z,2025-07-13T16:00:01.713Z,{},{}
SUB-1752422659050-qwj97bnu,Submission Processing - UW-2025-001,submission,pending_approval,1,6,UW-2025-001,2025-07-13T16:04:19.050Z,2025-07-13T16:04:42.194Z,{},{}
SLI-1752426170739-a0pmpzll,Test Slip Workflow - Updated Agent Sequence,slip,running,1,6,SLP-2025-TEST,2025-07-13T17:02:50.739Z,2025-07-13T17:03:19.521Z,"{""slip_reference"":""SLP-2025-TEST"",""lloyd_syndicate"":""Syndicate 623"",""approved"":true}",{}
SLI-1752426316773-ge1jrd46,SLP-2025-001 Updated Workflow,slip,pending_data_extraction,0,6,SLP-2025-001,2025-07-13T17:05:16.773Z,2025-07-13T17:05:28.881Z,{},{}
