case_id,session_id,event_type,actor,actor_type,title,description,details,status,priority,timestamp,created_at,updated_at
UW-2025-001,SUB-1752400055185-9rg95fvh,system_event,System,system,Workflow Started,Submission Processing workflow initiated,Workflow Type: submission | Case ID: UW-2025-001 | Total Steps: 6,completed,medium,2025-07-13T09:47:35.185Z,2025-07-13T09:47:35.185Z,2025-07-13T09:47:35.185Z
UW-2025-001,SUB-1752400055185-9rg95fvh,agent_execution,Data Extraction Agent,agent,Data Extraction Completed,Successfully extracted client data from insurance application,Extracted 25 fields with 95% confidence | Client: Lee Warner Jones | Property: House - Detached | Premium: £8021,completed,high,2025-07-13T09:47:41.194Z,2025-07-13T09:47:41.194Z,2025-07-13T09:47:41.194Z
UW-2025-001,SUB-1752400055185-9rg95fvh,approval_request,System,system,Data Extraction Approval Required,Human review required for extracted data before proceeding,25 fields extracted | Building sum: £2230555 | Content sum: £291655 | Jewellery: £97507,completed,high,2025-07-13T09:47:42.000Z,2025-07-13T09:47:42.000Z,2025-07-13T09:47:42.000Z
UW-2025-001,SUB-1752400055185-9rg95fvh,approval_response,Underwriter,underwriter,Data Extraction Approved,Underwriter approved extracted data quality and accuracy,All extracted fields verified as accurate | Approved to proceed with workflow,completed,high,2025-07-13T09:47:45.000Z,2025-07-13T09:47:45.000Z,2025-07-13T09:47:45.000Z
UW-2025-001,SUB-1752400055185-9rg95fvh,agent_execution,Sanctions Check Agent,agent,Sanctions Check Completed,Comprehensive sanctions screening completed for all parties,No sanctions matches found | Risk Level: LOW | Confidence: 85%,completed,high,2025-07-13T09:47:58.079Z,2025-07-13T09:47:58.079Z,2025-07-13T09:47:58.079Z
UW-2025-001,SUB-1752401813113-pvijphhn,system_event,System,system,Workflow Restarted,New workflow session started for existing case,Previous session: SUB-1752400055185-9rg95fvh | New session: SUB-1752401813113-pvijphhn,completed,medium,2025-07-13T10:16:53.113Z,2025-07-13T10:16:53.113Z,2025-07-13T10:16:53.113Z
UW-2025-001,SUB-1752401813113-pvijphhn,agent_execution,Data Extraction Agent,agent,Data Extraction Processing,Extracting client data from insurance application forms,Processing submission forms and documentation | Client: Lee Warner Jones,completed,medium,2025-07-13T10:17:05.000Z,2025-07-13T10:17:05.000Z,2025-07-13T10:17:05.000ZUW-2025-001,SUB-1752402235734-2uomqj08,system_event,System,system,Workflow Started,Submission Processing - UW-2025-001 workflow initiated,"Workflow Type: submission
Case ID: UW-2025-001
Total Steps: 6",completed,medium,2025-07-13T10:23:55.734Z,2025-07-13T10:23:55.735Z,2025-07-13T10:23:55.735Z
UW-2025-001,SUB-1752402235734-2uomqj08,agent_execution,Data Extraction Agent,agent,Data Extraction Agent Started,Agent processing started for extractor,"Agent Type: extractor
Status: started
Progress: 0%",completed,medium,2025-07-13T10:23:57.751Z,2025-07-13T10:23:57.752Z,2025-07-13T10:23:57.752Z
UW-2025-001,SUB-1752402235734-2uomqj08,agent_execution,Data Extraction Agent,agent,Data Extraction Agent Completed,Agent successfully completed processing,"Agent: Data Extraction Agent
Status: completed
Progress: 100%
Confidence: 0.85
Output: {""agent_name"":""Data Extraction Agent"",""status"":""completed"",""confidence"":0.95}",completed,medium,2025-07-13T10:24:01.760Z,2025-07-13T10:24:01.761Z,2025-07-13T10:24:01.761Z
UW-2025-001,SUB-1752402235734-2uomqj08,system_event,System,system,Workflow Status Changed,Status changed from running to pending_data_extraction,"Previous Status: running
New Status: pending_data_extraction
Step: 0/6",completed,medium,2025-07-13T10:24:01.762Z,2025-07-13T10:24:01.762Z,2025-07-13T10:24:01.762Z
