session_id,agent_id,name,type,status,progress,output,created_at,updated_at
SUB-1752400055185-9rg95fvh,1,Data Extraction Agent,data_extraction,completed,100,"{""agent_name"":""Data Extraction Agent"",""status"":""completed"",""confidence"":0.85,""ai_response"":""Data Extraction Agent completed processing with fallback logic (OpenRouter temporarily unavailable)"",""fallback_used"":true}",2025-07-13T09:47:35.185Z,2025-07-13T11:45:22.934Z
SUB-1752400055185-9rg95fvh,2,Sanctions Check Agent,sanctions_check,completed,100,"{""agent_name"":""Sanctions Check Agent"",""status"":""completed"",""confidence"":0.85,""ai_response"":""Sanctions Check Agent completed processing with fallback logic (OpenRouter temporarily unavailable)"",""fallback_used"":true}",2025-07-13T09:47:45.000Z,2025-07-13T11:45:26.979Z
SUB-1752400055185-9rg95fvh,3,Risk Profile Agent,risk_profile,completed,100,"{""agent_name"":""Risk Profile Agent"",""status"":""completed"",""confidence"":0.85,""ai_response"":""Risk Profile Agent completed processing with fallback logic (OpenRouter temporarily unavailable)"",""fallback_used"":true}",2025-07-13T09:47:58.079Z,2025-07-13T11:45:15.481Z
SUB-1752400055185-9rg95fvh,4,Premium Calculation Agent,calculator,completed,100,"{""agent_name"":""Premium Calculation Agent"",""status"":""completed"",""confidence"":0.85,""ai_response"":""Premium Calculation Agent completed processing with fallback logic (OpenRouter temporarily unavailable)"",""fallback_used"":true}",2025-07-13T09:47:58.080Z,2025-07-13T11:45:19.512Z
SUB-1752400055185-9rg95fvh,5,Email Draft Agent,drafter,completed,100,"{""agent_name"":""Email Draft Agent"",""status"":""completed"",""confidence"":0.85,""ai_response"":""Email Draft Agent completed processing with fallback logic (OpenRouter temporarily unavailable)"",""fallback_used"":true,""emailDraft"":""Email Draft Agent completed processing with fallback logic (OpenRouter temporarily unavailable)""}",2025-07-13T09:47:58.081Z,2025-07-13T11:45:23.549Z
SUB-1752400055185-9rg95fvh,6,Email Sender Agent,sender,pending,0,{},2025-07-13T09:47:58.082Z,2025-07-13T09:47:58.082Z
SUB-1752400055185-9rg95fvh,7,Final Decision Agent,decider,pending,0,{},2025-07-13T09:47:58.083Z,2025-07-13T09:47:58.083Z
SUB-1752401813113-pvijphhn,1,Data Extraction Agent,extractor,completed,100,"{""agent_name"":""Data Extraction Agent"",""status"":""completed"",""confidence"":0.95}",2025-07-13T10:16:53.116Z,2025-07-13T10:16:59.135Z
SUB-1752401813113-pvijphhn,2,Sanctions Check Agent,sanctions,completed,100,"{""agent_name"":""Sanctions Check Agent"",""status"":""completed"",""confidence"":0.85,""ai_response"":""Sanctions Check Agent completed processing with fallback logic (OpenRouter temporarily unavailable)"",""fallback_used"":true}",2025-07-13T10:16:53.117Z,2025-07-13T10:17:10.264Z
SUB-1752401813113-pvijphhn,3,Risk Profile Agent,risk_analyst,pending,0,{},2025-07-13T10:16:53.118Z,2025-07-13T10:16:53.118Z
